accuracy,loss,val_accuracy,val_loss
0.5600576996803284,1.1654692888259888,0.7156069278717041,0.7619485259056091
0.6886805891990662,0.814839780330658,0.7739884257316589,0.6152224540710449
0.7335255742073059,0.7093009948730469,0.7780346870422363,0.5584933757781982
0.7521268725395203,0.6559959650039673,0.8104045987129211,0.5131407380104065
0.7730353474617004,0.6029277443885803,0.8242774605751038,0.46496546268463135
0.7815428972244263,0.5804013609886169,0.815606951713562,0.48468703031539917
0.7971161007881165,0.5400505661964417,0.8063583970069885,0.5039383769035339
0.8092285394668579,0.5179728269577026,0.831791877746582,0.43664035201072693
0.8135544061660767,0.5047335624694824,0.8265895843505859,0.44055861234664917
0.816870927810669,0.48981142044067383,0.8560693860054016,0.3833357095718384
